Gondi Sentence	Hindi Translation	Telugu Translation
गुदुमसाइ एगरनेंके तासे तनांतुर.	'गुदुमसाइ' नृत्य करते समय यह ताशा बजाया जाता है।	గుదుమ్సాయ్ నృత్యం చేసెటప్పడు (వెట్టే) అనే సంగీత సాధనం వాయిస్తారు.
तिना कय्‍दे गाटो तिंतुर.	दाहिना हाथ से खाना खाते है।	
मावा लॊता तिनेर्गुंक मा मामाना लॊन मंता.	हमारे घर के दाहिने ओर मेरे मामा का मकान है।	
नाकु तिना कय्‍दे वेल्‍ले कबह्‍क कियावांतां.	मै दाहिना हाथ से ज्यादा काम करता हूँ।	
नाकु तिना कय्‍दे वेल्‍ले कबह्‍क कियावांतां.	मै दाहिना हाथ से ज्यादा काम करता हूँ।	
इरगा ताकत वायगोम इत्ते इरगा गाटो तिनमड़ गावाले.	ताकतवार बनने के लिये ज्यादा खाना खानी चाहीये।	
मावा लॊता तिनेर्गुंक मा मामाना लॊन मंता.	हमारे घर के दाहिने ओर मेरे मामा का मकान है।	
वेल्‍लेसेपु उद्दिसि मत्ते काल्‍कु तिम्मिरि पींतां.		చాల సేపు కూర్చుంటే కాలకు తిమ్మిరి ఎక్కుతాయి.
सेक्‍करा तिय्यगा मनंता.	शक्‍कर मिठा होता है।	
नाकु उत्तगा तिरयुड इत्ते इस्‍टम हिल्‍ले.	मुझे बेवजह घूमना पसंद नही है।	
नॆदे जोन्ना विसला कोंदां दोहचि बंती तिरहंतुर.		ఎడ్లను జొన్నచెలిలో కట్టి బంతి తింపుతారు.
नॆदे जोन्ना विसला कोंदां दोहचि बंती तिरहंतुर.		ఎడ్లను జొన్నచెలిలో కట్టి బంతి తింపుతారు.
नाकू कट्टे नर्कनेंके कादुक मर्सु तिवता.	लकडीयाँ तोड़ते समय मेरा पांव कट गया।	
सिन्ने पिलाल्‍कुंक गाटो तिहमड़ गावाले.	छोटे बच्‍चों को खाना खिलानी चाहिये।	
करंट ई लॊताल आ लॊतुक होनला तीगे हहा पींता.	बिजली इस घर से उस घर जाने के लिये वायर लगाना पडता है।	
पिट्टे बचूंगों तीर्कुनां मनंता.	पंछीयाँ अलग-अलग प्रकार के होते है।	
मरमींने रकारकाल्‍कुना गाटों अट्टंतुर.	शादीयों मे तरह-तरह के पकवान पकाते है।	పెండ్లిలో రకరకాలు వంటకాలు చేస్తారు.
गाटो अट्टकामुन्ने परिक तीर्पगोम.	खाना पकाने से पहले चावल चुननी चाहिये।	
तुंगा जाडी दोय्यने एक्‍को पुट्टंता.	यह घास खेतों में अधिक मात्रा से उगता है।	
तुम्मिर आकीन बीडीं कींतुर.	तेंदु पत्ता का बीड़ी बनाते है।	తునికి ఆకులతో బీడీలు తయారు చేస్తారు.
पाकीस्‍तान देसेमते तुरकलोर एक्‍को मंतुर.	पाकीस्‍तान में मुसलमानो की जनसंख्या अधिक है।	
हिंदु दर्मातोर तुलसे मराता पूजे कींतुर.	सारे हिंदू धर्मी तुलसी के पूजा करते है।	హిందువులు స్నానం చేసి తుల్సి మొక్కను (చెట్టును) రోజు పూజిస్తారు.
एर तुंगतंका तुवेलाते उसुमकुंतुर.	नहाने के बाद तौलिया से पोंछ लेते है।	
पड़सेम पीते बागा तुहका वांता.		జలబు అయితే తుమ్ములు వస్తాయి.
नना तल्‍पुना गोल्‍लेम तेंडतन.	मैने दरवाजा खोला है।	నేను తలుపు తీస్తున్నాను.
ओर इन तनला तेदतोर.	वो इसे मारने के लिये तयार हो गया था।	ఈయన ఆయనను కొట్టడానికి తెగించాడు.
बुक्‍कुना कायदोम तेल्‍लगा मनंता.		నోటు పుస్తకములోని కమ్మలు తెల్లగ ఉంటాయి.
तेल्‍ला गड्डा गाटोतोन तिंतुर.	यह मुली भोजन के साथ खाते है।	
हापां आयीं मिर्सां आयीं तोटाते पंडिचंतुर.	बैंगन हो या मिर्ची अलग बागिचे में लगाते है।	వంకాయలు, మిర్చి, తోటలో పండిస్తారు.
तोडेल्‍ली केडाते मंचि मक्‍किसि एटिन पींता.		తోడేలు అడవిలో ఉంటుంది మేకలను వేటాడి తింటుంది.
मीन्‍क पियला बाईह्‍क एतुन तोरसंतां.		మహిలలు (స్త్రీ) చేపలు పట్టడానికి వాగు నీళ్ళను తోడుతారు.
अरटि पंडि तितंका दाना तोलून पोचिंतुर.	केला खाने के बाद उसका चिल्टा फेंक देते है।	అరటి పండు తిని తొక్క పారెస్తారు.
रोज हक्‍केर्कु एरतुंगसि बूदेवुंकु दंडम तासगोम.	हर रोज सुबह उठकर स्‍नान करके के पृथ्‍वी को नमन करनी चाहिये।	రోజు స్నానం చేసి ప్రొద్దున భూమాతకు దండం పెట్టుతారు.
नर्सबाई दंडक सूदी वाटंता.	नर्स हमेशा इंजेक्‍शन बाजूंओ में लगाती है।	
राणी राजांक रोज नमस्‍कारम कींता.	रानी रोज राजा को प्रणाम करती है।	రాణి రాజుకు వందనం చేసింది.
नुल्‍लें कस्‍कुतंका गॊक्‍ते इरगा दद्दुक तेदंता.		దోమలు కుట్టితే శరీరమంత పొక్కులు వస్తాయి.
नावा कादुक बंडा दल्‍गुता.	मेरे पैर को पत्‍थर का ठेस लगा।	
गोडकुन दामीडते दोहंतुर.		ఆవులను తలుగులతొ కట్టుతారు.
लॊता मुन्ने दारा मनंता		ఇంటిలో ముందు స్థలాన్ని వాకిలి అంటారు.
मना देशमकु नालूं दिक्‍कुल्‍कु मंतां, तूरपु, दक्षिणा,उत्तेरा,पडमटा.		మాన దేశనికి నాలుగు దిక్కులున్నాయి, తూర్పు, పడమర, ఉత్తరం, ధక్షిణ.
मावा कचलम बुर्दते दिगा बडता.	हमारी खटारा कीचड़ में फंस गया।	
मातरल दुड्डु पीसि ताकंतोर.		ముసలివాడు కట్టే సహయముతో నడుస్తారు.
नना मरा पोरोटाल दुन्‍कुसेके मंतन.	मै पेड़ के ऊपर से खुद र‍हा हू।	నేను ఎగురు చున్నాను.
वडी,पिर्रु,दुब्‍बा,दूली अन्नि कलियसि वाते, दान दुमारम इंतुर.	हवा, पानी, धूल यह सब जब एक साथ आता है, तो उसे तुफान कहते है।	ఉరుములు, మెరుపులు వాన, జోరుగా ఉన్న దానిని తుఫాన్ అంటారు.
कोत्तां तच्‍चि मल्‍सि हिय्यकोंटे ओन लंगाल इंतुर.	बे वजह तकलीफ करनेवालें को बदमाश कह जाता है।	రూపాలు తీసుకొని తిరిగి ఇవ్వని వారిని చెడ్డ వాడు అంటారు.
लॊता दूलाम्‍कु ऊकळ दोहंतुर.		ఇంటి దూలలకు ఉయ్యాల కట్టుతారు.
निन्ने नर्का मा नाटेना पाटलाना लोताल दोंगाल्‍क कोत्तां दोसकुंचि ओतुर.		దొంగలు, ఇంటి నుండి ప్లేట్లు, ముంతలు,దొసుకొనీ తీసుకెళ్ళరు.
ओना नदर ना अंङीपोरेन मंता.	उसका नज़र मेरे शर्ट पर ही है।	
इग्‍गे बोरन्ना वायानुर गिचचो नदर वाटा.	यहाँ कोई भी आ सकता है जऱा नज़र रखना।	ఇక్కడికి ఎవరైన వస్తారు నా కొరకు కొద్దిగ చూడు.
इग्‍गे बोरन्ना वायानुर गिचचो नदर वाटा.	यहाँ कोई भी आ सकता है जऱा नज़र रखना।	ఇక్కడికి ఎవరైన వస్తారు నా కొరకు కొద్దిగ చూడు.
राणी राजांक रोज नमस्‍कारम कींता.	रानी रोज राजा को प्रणाम करती है।	రాణి రాజుకు వందనం చేసింది.
नागापंचमीता नाडु नय तरासुंक पालू उहांतुर.	नाग पंचमी के दिन नाग सांप को दूध पिलाते है।	పంచిమి రోజు అందరు నాగు పామును పూజ చేస్తారు.
सिन्ने पिलाल्‍क नर्का पडिं मींडांतुर.		చిన్నలు, పెద్దలు రాత్రంత నిద్రపోతారు.
सिन्ने पिलाल्‍क नर्का पडिं मींडांतुर.		చిన్నలు, పెద్దలు రాత్రంత నిద్రపోతారు.
मा बाबल इंदके नलपै मूडु वर्सानोर आतोर.	अभी मेरे पिताजी तैंतालीस साल के है।	
गोड्डु पेय्यतुन नाकीसि बॆस कींता.	गया अपने बछड़े को चाटकर साफ करता है।	ఆవు దూడను నాకు తుంది.
नॆदुन नांगेल्ते ऊडंतुर.		చేను దున్నుటకు నాగలి పనికిస్తుంది.
ओर मनकेल मावा नाटेनोर आंदुर.	वह आदमी मेरा गांव का है।	ఆయన మా ఊరి మనిషి
ओर मनकेल मावा नाटेनोर आंदुर.	वह आदमी मेरा गांव का है।	ఆయన మా ఊరి మనిషి
लोन-लोन तिरियनोन नार तिरियनोर इंतुर.		ఇంటింటా తిరుగేవాని, అడ్డా తిరుగుడు అంటారు.
वडकला अनि रुसि हूडला नाल्‍के गावाले.		మాట్లాడుటకు, రుచికి నాలుక పనికిస్తుంది.
हक्‍केरा नास्‍ता कितीना?		ప్రొద్దున అల్పహారము చేశావా.
कटुल हिड अर्ते दान मर्रा नित्तिचंतुर.	खटिया गिरने से उसे फिर खड़ा किया जाता है।	మంచం పడితే లేపుతారు.
कटुल हिड अर्ते दान मर्रा नित्तिचंतुर.	खटिया गिरने से उसे फिर खड़ा किया जाता है।	మంచం పడితే లేపుతారు.
पेडाल सायकलतुन पकक निल्‍हाचंतोर.	बच्‍चा बाजू में खड़ा है।	పిల్లలు సైకలు ప్రకన నిలబడి ఉన్నారు.
मर्का मराता हिडु बॆसता नीडा मनंता.		మామిడి చెట్టు క్రింద మంచిగా నీడ ఉంటుంది.
हकेड्‍कु पीनी कासला होदेलतगा तडिम मासंतुर.		ప్రొద్దున పొయ్యిలో అగ్గి చేస్తారు.
ईर नलता एर निहांतोर.	यह नल का पानी भरता है।	వీరు నల్లా దగ్గర నీళ్ళు నింపుకుంటున్నారు.
कटुल्तुन नुल्‍काते हरहांतुर.		మంచంను నుల్కాతో అల్లుతారు.
नॆड़ी मराता पंडी कर्रेगा मनंता.		అల్ల నేరడి పండ్లు నల్లగా ఉంటాయి.
नॆली कियनोर नॆदगा कबड किसेके म‍ंतोर.		వ్యవసాయము చేసేవాడు మడిళ్ళలో పనిచేస్తున్నాడు.
एटीं, गोड्‍क, गोर्रें नेमर वाटंता.		ఆవులు, బఱ్ఱెలు, గొర్రెలు అని జంతువులు నెమరు వేస్తాయి.
कासुटा कंदेनाहाटीं नेरडा निय तेंडंतुर.		ఎడ్ల బండి కొరకు ద్వీపము కొరకు ఆముదము నూనే తీస్తారు.
कासुरकु रोंड नोगां मनंतां.		ఎడ్ల బండికి, రెండు పోడుగాటి కట్టెలు ఉంటాయి.
नाकु नोंडे नोटा वांता.		జనుమలో తాడు అల్లుతారు.
मरमीना पेडन नोव्राल इंतुर.		ఇప్పుడు పెళ్ళి అయ్యె అబ్బాయిని పెండ్లి కొడుకు అంటారు.
मरमींना पेगिटुन नोव्री इंतुर.		ఇప్పుడు పెళ్ళి అయ్యె అమ్మాయిని పెండ్లి కూతురు అంటారు.
मरमींना पेगिटुन नोव्री इंतुर.		ఇప్పుడు పెళ్ళి అయ్యె అమ్మాయిని పెండ్లి కూతురు అంటారు.
उंदि कुटुंबतोर अंटोर कलियसि नोव्‍वां मोड्‍कंतुर.		ఒకే కుటుంబీకులందరు కలిసి క్రొత్త దినుసుల పండుగ చేసి తింటారు.
पंगा आयनेंके गोगोड कूसंता.	सुबह होते समय मुर्गा बांग देता है।	
पिरकालम एक्‍को पच्‍चा कुसिर कीसि तिंतुर.		గూడెలలో వర్ష కాలం వచ్చిన తరువాత ఆకు కూరలు తింటారు.
पोसकीता रंबा पंजरमते मनंता.		చిలుక పంజరంలో ఉంటుంది.
मा लोता पज्‍जो/पक्‍ककु तुम्मीर मरा मंता.		ఆయన కనిపించకుండా ఏం చేస్తున్నాడు.
इस्‍कुल पिलाल्‍क अंटोर्क नडीक पट्टा तासंतुर.	पाठशाला में सभी बच्‍चे कमर में पट्टा लगाते है।	బడి పిల్లలు చొక్క తోపల వేసి బెల్టు వేసుకుంటారు.
पट्टा हिल्‍वा जॆगातुन पडित जॆगा इंतुर.		చెట్లు, చేమ ఉండని ఆ స్థలమును పడిద్ అంటారు.
मटमते पडीं ताससि लोन वासी गाटो तिंतुर.		గుడిలలో నైవేద్యము చూపి ఇంటికి వచ్చి తింటారు.
नाकु पदिहेनी वर्साना मिय्यड मंता.	मुझे पंधरह साल की लड़की है।	
तडिम इरगा पोत्तुगोम इंचि कंट्टेन सेक्‍कां पय्‍हांतुर.		కట్టెలను మండుటకు పొయ్యిలో పెట్టుతారు.
पोलालतानाड हनमंतुना गुडिते कोब्‍बेरकाया पैहाचि पलारम तासंतुर.		పొలాల పండుగ రోజు అంజనేయునికి నైవేద్యము చూపుతారు.
अंङीता गुंडी कुटुड आतंका दारमतुन टेलर पल्‍कुने कोरकिसि नेम्‍हांतोर.		బట్టలు కుట్టె దర్జి దారమును పళ్ళతో తెంపుతాడు.
हेर्का पेडेता पल्‍कुल्‍कु पय्‍हाचि तिंतुर.		మొర్రి పండ్లను పగుల గొట్టి సారాపలుకులు తింటారు.
अंङीता गुंडी कुटुड आतंका दारमतुन टेलर पल्‍कुने कोरकिसि नेम्‍हांतोर.		బట్టలు కుట్టె దర్జి దారమును పళ్ళతో తెంపుతాడు.
मनकंक कामेल्‍क आयानय्ते ओना कळ्‍क पच्‍चगा आंता.	कावीळ से पिडित आदमी के आंखो में पिला रंग आता है।	
नाकू पसपु पच्‍चा रंग इत्ते बागा इस्‍टम.		పసుపు పసుపు పచ్చగ ఉంటుంది.
अंपुडतस्‍के एटि कोय्ते दाना उंदि तोडा कोयसि वेरे इर्रंतुर.		కార్మకాండము చేసె రోజున మేక తొడను వేరుగ ఉంచుతారు.
केडा गोर्रे पांजीते अरता.		అడవి గొఱ్ఱె వలలో పడిపోయింది.
मरमींनगा पाटडि सोनाय उह्‍कंतोर.		పెండ్లిలో ప్రధాన్ వారు సన్నాయి వాయిస్తారు.
सिना पिलाल्‍क अळ्ते ओर्कुन मगिच्‍ला पाटा पारांतुर.		అబ్బాయిలు, అమ్మయిలు పాట పాడుచున్నారు.
पाटा बंडापोरो पस्‍पू नोहकंतुर.		రుబ్బు రోలుతో పప్పును రుబ్బుతారు.
नाटुक वरोर पाटलाल मनंतोर.		ఊరికి ఒక్కక్క పటేల్ ఉంటారు.
नाटेना मुर्ताह्‍क एक्‍को पातळ कप्‍डीं पोंडंतां.		ఊళ్ళలో చాల మంది ఆడవాళ్ళు చీరలు కట్టుతారు.
पान आकी तित्ते तोड्डि एर्रगा आंता.		తమలపాకు తింటే నోరు ఎర్ర బడతుంది.
पान आकी तित्ते तोड्डि एर्रगा आंता.		తమలపాకు తింటే నోరు ఎర్ర బడతుంది.
इरगा पिर वाते कुडेट्‍कु पाया अरंता.		పెద్ద వాన పడితే వాగును-వాగు పొంగింది అంటారు.
एरवु उड़पला पारा कबड़ हींता.		ఎరువును(ఆవు పేడ) విసురుటకు పారా ఉపయోగిస్తారు.
नालीं साप कियला पारा कबड़ हींता.		నాలీలు శుభ్రపరుచుటకు పారా ఉపయోగిస్తారు.
ओर पाटा पारतोर.	वह गाना गाया है।	ఈయన పాట పాడినాడు.
सिनस्‍के पिलाल्‍क यावना पाल उंटुर.		అమ్మాయి, అబ్బాయి తల్లిపాలు త్రాగుతారు.
बाई गोडुना पाल पिंडसंता.		అక్క బర్రె పాలు తీస్తుంది.
नाह्‍कुने पावरेल्‍क पोस कींतुर.	गांव में भी कबुतर पालते है।	ఊరుళ్ళలో పావురాలను పెంచుతారు.
लॊता कबटे मदत कियना मुर्ताटुन पासी कबड़ कियना मुरतड़ इंतुर.	घर काम में सहयता करनेवाली स्‍त्री को दासी कहते है।	
पेडल पेगिटुन पास्‍कतोर.	वह लड़का उस लड़की को पसंद नही किया है।	అబ్బాయి అమ్మయిని అయిష్ట పడ్డాడు.
उंदि सिन्ने पिट्टे मनंता दान पुरोड पिट्टे इंतुर.		చిన్న పెద్ద పిట్టెను పిట్ట గువ్వ అంటారు.
पिर वायना मब्‍बु आसी गड़ा-गुड़ा इत्ते पिडगु वाटंता.	बारसात के मोसम में अधिकतर समय बादल गरजते है।	
बाई गोडुना पाल पिंडसंता.		అక్క బర్రె పాలు తీస్తుంది.
जोन्ना पिंडिता हारीं इरगा रुसि मनंतां.	जवार आटे का रोटी खाने के लिये स्वादिष्ट होते है।	జొన్న పిండితో రొట్టెలు చేస్తారు.
नागपंचमिता रोज जोन्ना पिर्कीं पिडहांतुर.		పంచమి రోజు ప్యాలాలు చేస్తారు.
नागपंचमिता रोज जोन्ना पिर्कीं पिडहांतुर.		పంచమి రోజు ప్యాలాలు చేస్తారు.
पिय्यल पोड्‍दुंक इरगा एद्दी मनंता.	दोपहर में बहोत धूप होता है।	వేసవిలో ప్రొద్దు ఎక్కి ఎండెకువైతే మధ్యాహ్నం నాగలి పని విడిచి పెట్టుతారు.
नॆली कियनोर पिय्यल-पोड्‍द कबड कींतोर.	किसान खेत में पूरा दिन मेहनत करता है।	వ్యవసాయ పనులు చేసేవారు దినమంత పని చేస్తారు.
नॆली कियनोर पिय्यल-पोड्‍द कबड कींतोर.	किसान खेत में पूरा दिन मेहनत करता है।	వ్యవసాయ పనులు చేసేవారు దినమంత పని చేస్తారు.
ओर अगा होना परोर, बारि इत्ते ओन्‍कु वेल्‍ले पिरकितनम मंता.		ఆయనకు భయమెక్కువ అతను అక్కడికి వెళ్ళడు.
जामा पंडिं कोयला पोरलोर वांतुर ओर्कन बेदरिचा पींता.		జామ పండ్లు తినడానికి పిల్లలు రోజు వస్తారు వారిని బయపెట్టవలెను.
आकाडीताल(एकाशी) पिरकालम होडियता इंतुर.	आकाड़ी एकादशी से बारीश का मोसम शुरू होता है।	ఆకాడి నుండి కార్తి మాసం వరకు వర్షకాలం అంటారు.
आकाडीताल(एकाशी) पिरकालम होडियता इंतुर.	आकाड़ी एकादशी से बारीश का मोसम शुरू होता है।	ఆకాడి నుండి కార్తి మాసం వరకు వర్షకాలం అంటారు.
ओनद ओरे वदुरसेके मनानोन पिस्‍सल इंतुर.	बे वजह बातें करते चला जाता है, उसे पागल कहते है।	బాగా వాగే వానిని పిచ్చోడు అంటారు.
ओनद ओरे वदुरसेके मनानोन पिस्‍सल इंतुर.	बे वजह बातें करते चला जाता है, उसे पागल कहते है।	బాగా వాగే వానిని పిచ్చోడు అంటారు.
सेनगा मराकुन जपा-जपा पीकंतुर.		శనగ మొక్కలను తొందర తొందరగా తీస్తారు.
पेन वायनोन पुजरि इंतुर		పెద్ద రోగము వస్తే పూజారి మంచిగ చేస్తాడు.
पिर कालमते गोडकुंक पुन्‍क आते पुड्‍क अर्रंतां.	बरसात के मोसम में जानवरों को जख्‍म होने से किड़े पड़ते है।	వర్ష కాలం జంతువులకు పుండ్లు అయితే పురుగులు పడుతాయి.
पुत्तीते सेदेल मनंता.		పుట్టలలో చెదలు ఉంటాయి.
नोंडेतुन पग्‍गम वाटला मुन्ने दान पुरी वाटंतुर.		త్రాడును పగ్గం చేయుటకు అల్లుతారు.
उंदि सिन्ने पिट्टे मनंता दान पुरोड पिट्टे इंतुर.		చిన్న పెద్ద పిట్టెను పిట్ట గువ్వ అంటారు.
पुर्काकायाता कुसिर कींतुर.		పూర్వపు కాలంలో చేదుబుర్రాతో తయారు చేసిన దానితో నీరు త్రాగేవారు.
पुर्कीं पोरिह्‍कुन तलाते एक्‍को मनंतां.		పేలు ఆడపిల్లల తలలో ఎక్కువగ ఉంటాయి.
पुर्कि हीरु तल्‍लते मनंता.		పేలు తలలో ఉంటాయి.
ना पुर्ता इरा.	मेरे लिये रखो.	నా వంతు ఉంచు.
राजीगाना कय्यु पुस्‍किसी होंचि ओर मरा पोरोटाल हिडु अरतोर.		చెరువులో చేపలు పట్టెటప్పుడు చాల చేపలు తప్పించు కుంటాయి.
पोरिह्‍क तल्‍लता जेडक पूतां तासंतां.	लड़कीयाँ सिर में फूल लगाते है।	ఆడ పిల్లలు జడలలో పూలు పెట్టుతారు.
मर्का मरा कायां हादनाहाटीं पूयंता.		మామిడి చెట్టు కాయలు కాసుటకు పూలు పూస్తుంది.
नना नीवा लॊन पूस किसेके- किसेके वातन.	मै तेरा मकान पूछते- पूछते आया हूँ।	చుట్టమైయి వెళితే చాల మర్యాద చేస్తారు.
लोता लोप्‍पो उंदि अर्राता मूलाते पेन मनंता.	हर घर मे एक देवघर होता है।	ఇంటిలో ఒక మూల దేవుడు స్థలం ఉంటుంది.
दूदीता पेडेक नॆदे वाटंतुर.		పత్తి గింజలు చేనులో నాటుతారు.
पेत्ते सेक्‍करा तिंता.		చీమలు చక్కెరలో అవుతాయి.
मुत्तोना दादल पेदा मुरीयल आंतोर.		ఇల్లాలి అన్నదమ్ములను, బావ, బామర్ధి అంటారు.
पेद्दे गिन्नेते मुरताह्‍क पिंडि पिस्‍कंतां.		పళ్ళెములో ఆడవారు పిండిని పిసుకుతారు.
पेनेमते रोट्टें कींतुर.	तावे में रोटी शेंकते है।	
नाटेना एटिन, गोड्‍कुन, बर्रेन कलपिसि गोड्‍क-गोदाल्‍क इंतुर.		ఊరిలోని చిన్న పెద్ద జంతువుల, తెగదూడలు అంటారు.
नॆदे एर हुप्‍सला इंजेन्‍कु पैपुल्‍क तासंतुर.		చేనులో నీటిని పైపుల ద్వార వధులుతారు.
बुग्‍गते बागा वडी निहाते अदु उत्तगेने पय्‍सी दांता.		గాలి బుగ్గను బాగా ఊది పగుల గొట్టినారు.
एर तर्रना बिंदेक तोर्रा अरसि एर पॊंगसंता.		నీరు తెచ్చు చర్వి రంద్రం అయ్యింది నీరు కారుతుంది.
डंडारीते एक्‍को मंदि दोती पॊंडांतुर.	दंडारी में बहुत लोग धोती पहनते है।	దండారిలో అందరు ధోవతులు కట్టి నృత్యం చేస్తారు.
मुत्तोना यावल पॊरड आंता.		భార్య తల్లి నాకు అత్త అవుతుంది.
पोंगुड़ वेहामन्नी.		అబద్దము మాట్లాడకు
ओर पोग्‍गो आकीं अम्‍सेके मंतोर.		ఆయన పొగకూ ఆకులు అమ్ముతున్నాడు.
कुहिते एर निंडिसि पोङसि होंचंता.	कुव्‍वे में पानी भर के बह रहा है।	బావిలో నీరు నిండి పొంగి పొర్లుతుంది.
गाटो जप्‍पना वेयगोम इत्ते गाटोहिडु इरगा तडिम पोतिच्‍चपींता.		అన్నము వండుటకు పొయ్యిలో అగ్గి చేస్తారు.
गाटो जप्‍पना वेयगोम इत्ते गाटोहिडु इरगा तडिम पोतिच्‍चपींता.		అన్నము వండుటకు పొయ్యిలో అగ్గి చేస్తారు.
पोन्‍गू केडाते मनंता.		గువ్వ రకపు పక్షులు అడివిలో ఉంటాయి.
पाटलानगा अंटोर वट उंदि पोल्‍ले वड्‌कानद मंता.		పటేల్ దగ్గర అందరు కలవండి ఒక విషయము మాట్లాడాలి.
ओन्‍क तलुर-बाबो हिल्‍लुर ओन मोमोट पोस कींतोम.		ఆయనకు అమ్మా నాన్నలు లేరు అందుకని మేము అతనిని పెంచుతున్నాము.
मरमींना मोदटा रोजु पोसंम्मंक तासंतुर.	शादी के पहले मातापूजन करते है।	పెండ్లి పూజ చేయడానికి పోచమ్మ దేవత దగ్గర బాజ బాజాంత్రిలతో వెళ్ళుతారు.
बक्‍के जिम्मक हाह्‍क एक्‍को मनंतां.	काटवल मच्‍छली को ज्यादा काटे होते है।	
नीकु बचटूर मियाह्‍क- मर्क मंतुर?	तुझे कितने जन लड़के- लडकियाँ है?	నీకు ఎంత మంది పిల్లలున్నారు.
नावा जॊरा बसते बदल आता.	मेरा थैला बस में बदल गया है।	నా సంచి బస్సులో మారిపోయినది.
लॊता वासानपोरो बद्दा कोट्टंतुर.		ఇంటిలో వాసాల పై బద్దలు కొట్టుతారు.
जोन्नां बुड्डु पीते अवुन एद्दिते दोससि बय्यरा कींतुर.		జొన్నలలో పురుగులు అయితే ఎండ బెట్టుతారు.
नावा जॊरा बसते बदल आता.	मेरा थैला बस में बदल गया है।	నా సంచి బస్సులో మారిపోయినది.
बस्के वातिट?.	कब आये है?	ఎప్పుడు వచ్చినారు.
बस्‍के- बस्‍केनो नना अक्‍कंक कलियला नाटेंक दांतन.	कभी- कभी मेरे बहन से मिलने मै गांव जाता हूँ।	అప్పుడప్పుడు మా ఊరు చూడడానికి వెళ్తాను.
बस्‍के- बस्‍केनो नना अक्‍कंक कलियला नाटेंक दांतन.	कभी- कभी मेरे बहन से मिलने मै गांव जाता हूँ।	అప్పుడప్పుడు మా ఊరు చూడడానికి వెళ్తాను.
बाळ्‍सेते कटुल कोसुल्‍क सेक्‍कंतुर.	वासले से खटिया के ढांचे बनाते है।	బాడిశతో మంచం కొళ్ళు చెక్కుతారు.
मुरतह्‍क कुहिताल एर बिंदेनेन तरंतां.		స్త్రీలు, పురుషులు బావి, బోరు నీళ్ళు బిందెలతో తెస్తారు.
पीनि कालमते बिलांकेट मुचंतुर.	ठंडकाल मे कंबल का इस्‍तेमाल किया जाता है।	చలికాలం బొంతలు కప్పుకుంటారు.
सट्टि नेलाते बीमुंक मोडकंतुर.	नवंबर-डिसेंबर महिने में भीम का पूजा किया जाता है।	మార్గశిర మాసమందు భీమ్‌ దేవుని పూజ చేస్తారు.
बुड्डिंग कुम्मल कींतोर.	यह मटके प्रकार कुंभार बनाता है।	కుండలు కుమ్మరి చేస్తాడు.
एड्‍जु बुरसल-बुरसल मनंता.	भालू के शरीर के बाल मुलायम होते है।	ఎలుగుబంటి వెంట్రుకలతో ఉంటుంది.
बुरसल पुडी अंटते इरगा दुर्दा तेदंता.		తోలపుడి అయితే శరీరమంత పొక్కులు అవుతాయి.
वेल्‍ले मंदि गरिब लोकुल्‍कु कुलीक होंचि पिसंतुर.	भारत में अधिक मात्रा में गरिब लोग रोजी के काम में जाकर कमाते है।	ఊళ్ళలోని ఆడవారు,మొగవారు కూళిపని కొరకు వేరే ఊరికి వెళ్ళుతారు.
जामा पंडिं कोयला पोरलोर वांतुर ओर्कन बेदरिचा पींता.		జామ పండ్లు తినడానికి పిల్లలు రోజు వస్తారు వారిని బయపెట్టవలెను.
बेल्‍लम सेर्कुनाल तयार कींतुर.	गूड़ गन्ना से बनता है।	చెఱుకు గడ్డ నుండి బెల్లం తీస్తారు.
हिंदु मर्ताह्‍क बोट्टू तासंतां.	अधिकतर हिंदू धर्म के स्‍त्रीयाँ माथे पे तिका लगाते है।	హిందువులు, పురుషులు, స్త్రీలు, బొట్టు పెట్టు కుంటారు.
एडादिकि उंदि मल्‍कन्ना तल्‍लातुन बोडागुंडु कियना.	साल में इक बार तो भी टक्‍कल करवानी चाहिये।	అమ్మాయి, అబ్బాయి, బొడ్డు ఊడిన తరువాత వెంట్రుకలు తీస్తారు.
पेहपेन कीते अगा बोत्तिटोर हेडमितोर वांतुर.	जब पेरसापेन पूजा होता तब सभी जन इक जगह आते है।	పెద్ద దేవుని దగ్గర అందరు కలుస్తారు.
मनकल आयि, मुरतड आयि हासोत्तंका ओन बोंदा दोसंतुर.	स्‍त्री हो या पुरूष मृत्यू के बाद उसके शरीर को जमीन में गाड़ना जरूरी है।	ఎవరైన చనిపోతే బొంద తవ్వి పాతి పెట్టుతారు.
कुहिता एते ब्‍लिचींग पावडर वाटतंका आ एतुन मंचि एर इंतुर.	कुए की पानी में ब्‍लिचींग पावडर डालने के बाद के पानी को अच्‍छा पानी कहते है।	
पीनि कालम एक्को मच्‍चू अर्रंता.	सर्दीयों में कोहरा अधिक मात्रा में पाया जाता है।	చలికాలం రాత్రి పూట చాల మంచు కురుస్తూంది.
मज्‍जु मनकल कबड कियला होन्नोर.	आलसी मनुष्य मेहनत करने में शरमाता है।	సోమరి మనిషి పనిచేయుటకు వెళ్లడు.
सिने पिलाल्‍क दूरम ताकसि होनला मज्‍जु-मज्‍जु कींतुर.		చిన్నపిల్లలు దూరం నడవడానికి మొండికేస్తారు.
