Gondi Sentence	Telugu Translation
హెర్రె తడకి సవద్నె మందంత.	మేక కాలేయం రుచిగా ఉంటుంది.
కేడతె హెర్రెంగ్ మెహ్లెన్ వోతెకె తడంజల్ హెర్రెంగ్ తింత.	అడవిలో మేకలు మేపడానికి వెళితే తోడేలు మేకలను తింటుంది.
కొర్కున్ గిర్ తడ్క్‌వల్ బేమరి వాంత.	కోళ్లకు కూడ గోకుడు రోగం వస్తుంది.
తడ్మి గుట్టంగ్ గిర్ మంతంగ్.	అగ్ని పర్వతాలు కూడా ఉన్నాయి.
కయ్దగ తడ్మిత గొక్క అర్తెకె గావ్ అర్రంత.	చెయ్యి కాలితే గాయం అవుతుంది.
పేన్కున్ యేర్ మిహ్లె తడితె వోంతెర్ (నమునత్: జంగుబాయి, బీమల్).	దేవుళ్లను స్నానము చేయించడానికి మడుగుకు తీసుకు వెళతారు.
మిర్చ రోప్ వాట్సి యేర్ తడియ.	మిరప విత్తనం విత్తి నీరు వెదజల్లు.
కొత్తంగ్ తడిసెర్ మంతెర్.	డబ్బులు జల్లుతున్నారు.
తడెంజల్ హెర్రెనున్ తింత.	తోడేలు మేకలను తింటుంది.
మీన్క్ పియ్ లెన్ తడెయ్ తగ మీరెమాసి దాంతెర్.	చేపలు పట్టడానికి చెరువులోకి కలిసి వెళతారు.
తన్వొర్ పేడల్ తన్ దాత్ మంతొర్.	తన కొడుకు తన లాగే ఉన్నాడు.
కామ్ కియ్వల్ తంగడ్ మంగడ్ మందంతొర్.	పని చేసేవాడు ఆశుభ్రంగా ఉంటాడు.
కామ్ కియ్వన్ కామ్ కియ్యొర్ ఇంజెర్ తంగ్ కియ్మ.	పని చేసే వాన్ని పని చెయ్యడు అని విసిగించకు.
పేడన్ నొర్ కాండిన్ తంగ్ మరి ఇంతెర్.	కొడుకు కుమారుడు మనుమడు అవుతాడు.
పేడిన పేడి తంగ్ మియడ్ ఇంతెర్.	బిడ్డ కూతురిని మనమరాలు అంటారు.
కాండి బొమ్మ యేతన్ సాటి తన్‌లాడ్సెర్ మంతొర్.	పిల్లవాడు బొమ్మ తీసుకోవాలని బతిమిలాడుతున్నాడు.
నాకున్ చొకొట్ కామ్క్ ఆయన ఇంజెర్ తపస్ కీతొర్.	నాకు మంచి పనులు జరగాలి అని ధ్యానం చేసాడు.
కొత్తంగ్ కహ్నెకె లెక్క తప్ కీతొర్.	డబ్బులు లెక్కించేటప్పుడు లెక్క తప్పు చేసాడు.
పిర్ తప్పతప్ప వాసెర్ మంత.	వర్షం నీటి తుంపరగా వస్తుంది.
మొల్లొడున్ బాండెతె పానెకె మొల్లొల్ తప్పుసీంత.	కుందేలును తుపాకీతో కాల్చినప్పుడు కుందేలు తప్పించుకుంటుంది.
మర్మింగ్ ఆయొర్ వోన్ తప్పెచారి ఇంతెర్.	పెళ్లి చేసుకోని వాన్ని బ్రహ్మచారి అంటారు.
నేండ్ పిర్ వాయ్వల్ తప్పొ.	ఈ రోజు వర్షం తప్పదు.
తొల్లెతుర్ వెడిల్క్ తమ్మతంగ్ ముద్దంగ్ కెర్న్ దిర్.	పూర్వపు వ్యక్తులు రాగి ఉంగరాలు తొడిగే వారు.
తమ్మ తమ్మొమీరెమాసి బేకె సొంజెర్ మంతెర్.	తమకు తాము ఎక్కడికీ వెళుతున్నారు.
వోర్ తమ్ముక్ వొమ్సెర్ మంతొర్.	ఆయన పొగాకు అమ్ముతున్నాడు.
తాదల్ తమ్మున్ ఇంతెర్.	అన్నదమ్ములు.
వ్యాకరనం తయర్ ఆసెర్ మంత.	వ్యాకరణం తయారై ఉన్నది.
నావంగ్ కొత్తంగ్ నిమ్మెయ్ సొంజి తర.	నా డబ్బులు నీవు వెళ్లి తెచ్చుకో.
హాటుం సొన్లె తరతుర ఆసెర్ మంతొర్.	అంగడికి వెళ్లడానికి తొందరపడుతున్నాడు.
నాడిగిర్ సాకుర్ చంచి తర వచ్చొ.	రేపు కూడ చక్కెర సంచి తెచ్చుకోవచ్చు.
సమ్దిర్ ఉంది తరగతి తగ మంతెర్.	అందరు ఒక తరగతిలో ఉన్నారు.
రాము తరతర ఆసెర్ మంతొర్.	రాము వణుకుతున్నాడు.
బేకెనె సొన్నెకె తరతుర ఆసెర్ దాంతొర్.	ఎక్కడి కన్న వెళ్ల్లే టప్పుడు తొందర పడి వెళతాడు.
నీ తర్సొ నన్ గిర్ హాటుం వాంతొన్.	నీ తో నేను కూడా మార్కెట్ కు వస్తాను.
నా తర్సొ పుట్తొర్ తమ్ముర్.	నా తోడ పుట్టిన వాడు తమ్ముడు.
నీ తర్సొ మీరెమాసి నన్నగిర్ వాంతొన్.	నీతో కలిసి నేను వస్తాను.
వరొన్ పూసి కీసి తర్వ్ ల్ చొకొట్.	ఒకరి అనుమతి తీసుకొని తెచ్చుట మంచిది.
ఉంది తరికతె తాకన.	నియమం ప్రకారం నడవాలి.
తొల్లెతంగ్ వేసుడింగ్ ఇన్కె గిర్ తరు సీసెర్ మంతెర్.	పూర్వపు కథలను ఇప్పుడు కూడ తెప్పించుకుంటున్నారు.
నాకున్ బిస్కొట్ పూడ తరుస.	నాకు బిస్కెట్ పొట్లము తెప్పించు.
తల ఊడ్సి వాతొర్.	తల దువ్వుకొని వచ్చాడు.
తల తిరివల్ బేమరి మావ నాటె వరొన్ వాసి మత్త.	తల తిరగడం రోగం మా ఊర్లో ఒకరికి వచ్చి ఉండే.
పిర్ వానెకె తల్ల పుహ్తెకె తల నోంత.	వానలో తడిస్తే తల నోస్తుంది.
వెయ్లొ పోరికున్ తోడొ కర్స్‌తెకె తల మొసొర్ వాంత.	అడ పిల్లలతో ఆడుకుంటే ముక్కునుంచి రక్తం కారుతుంది.
లజ్జె మాయ్వల్ పేడి తల వరుసి తాకంత.	సిగ్గు పడె అమ్మాయి తల వంచి నడుస్తుంది.
తలకెల్క్ కుసంతంగ్.	తలవెంట్రుకలు రాలుతాయి.
నావ తలద్ పొర్రొ బుడ్డితె యేర్ మంత.	తల పైన కుండలో నీరు ఉంది.
తలద్ పొర్రొ కట్టె వొజ్జె మంత.	తల పైన కట్టె మోపు ఉంది.
కోంద తలదె కొహ్కంత.	ఎద్దు కొమ్ములతో పొడుస్తుంది.
తల బిల్ల తల బూడ్ ఇరంతెర్.	తల దిండు తల కింద పెడతారు.
బిచ్చెగాండల్ బిచ్చెం తల్క్‌సెర్ వాంతొర్.	బిచ్చగాడు బిచ్చం అడుగుతూ వస్తున్నాడు.
మేస్క్ దొస్వల్ కొర్దున్ తల్లుర్ కోర్ ఇంతెర్.	గుడ్లు పెట్టె కోడిని కోడి పెట్ట అని అంటారు.
పుడ్క్ నగ గిర్ తల్లుర్ పుడి మందంత.	పురుగులలో కూడ తల్లి పురుగు ఉంటుంది.
నావ తల్వర్ బయ్ లామ్ మంత.	నా కత్తి చాలా పొడవుగా ఉంది.
అర్త బడ్డెతున్ తహ్చి ఇర్రన.	పడిపోయిన కర్రను ఎత్తి పెట్టాలి.
నన్న సడక్ పియ్సి తాకంతొన్.	నేను రోడ్డు మీద నడుస్తాను.
రాంబాబు నన్ వెహ్త రీతెతె తాకట్ ఇంతొర్.	రాంబాబును నేను చెప్పిన రీతిలో నడుచుకోండి అని అన్నాడు.
హెర్మితున్ వెల్లె తాకత్ మందంత.	గేదె చాలా బలముకలిగి ఉంటుంది.
బాండె పియ్లెన్ తాకద్ మందన.	తుపాకి పట్టుకోవడానికి బలం ఉండాలి.
తాక్వల్ జమనతె నన్న రాజల్ ఆయ పరొన్.	వర్తమాన కాలంలో నేను రాజును కాలేను.
మాయ్నలిర్ హాటుం తాక్సెర్ సొంజెర్ మంతెర్.	మగవారు అంగడికి నడుచుకుంటూ వెళుతున్నారు.
చుడుర్ కాండిన్ కయ్ పియ్సి తాకుసంతెర్.	చిన్న పిల్ల వాన్ని చేతులు పట్టి నడిపిస్తారు.
మామల్ లారి తాకు సీంతొర్.	మామయ్య లారీ నడిపిస్తున్నాడు.
గోండి బాస కరియన్ సాటి గోండి సాడంగ్ తాకు సీసెర్ మంతెర్.	గోండి భాషను నేర్చు కోవడానికి గోండి బడులు నడిపిస్తున్నారు.
బొమ్మిత్ రొప్పొడ సోనెతున్ తాడ.	భూమిలో ఉన్న బంగారాన్ని తవ్వు.
కలడి కల్ రెహన్ సాటి తాడి మర్ర తెర్గ్‌తొర్.	గౌడు సారాయి కోసం తాటి చెట్టు ఎక్కాడు.
తాడింగ్ ఆకిత రోన్ వేసంతెర్.	తాటి ఆకులతో ఇళ్లు కప్పుతారు.
పిర్ వాసి సొడిత పజ్జె తాడిస్ కమ్మల్ పెసియంత.	వర్షం వచ్చి పోయినప్పుడు ఇంద్రధనుస్సు కనిపిస్తుంది.
బస్కెగిర్ తిన్నెకె తాతొక్ తిందన.	ఎప్పుడైనా తినేటప్పుడు వేడి వేడిగా తినాలి.
నాక్ వరొర్ తాదల్ మంతొర్.	నాకు అన్నయ్య ఉన్నాడు.
బాయ్కొనొర్ తాదన్ తాద్ మూర్యల్ ఇంతట్.	ఇల్లాలి అన్నదమ్ములను, బావ, బామర్ది అంటారు.
బావనొర్ బాబన్ తాదొ ఇంతట్.	నాన్న తండ్రిని తాత అంటాము.
తాన్ మొడి నిమ్మెగిర్ సవ్రెమామ్.	దాని లాగా నీవు కూడ తయారు అవ్వు.
నావ ఆంగ్డె తాన్ దాత్న మంత.	నా చొక్క దాని లాగా ఉన్నది.
తాన్ మొడి నన్నగిర్ సాడి పోండ్క.	ఆమేలాగా నేను కూడ చీర కట్టుకుంటాను.
తాన పొరొల్ బతల్ మంత?	ఆమె పేరు ఏమిటి?
పేన్దున్ తాన జాగతగ ఇరంతెర్.	దేవున్ని దాని స్థానంలో ఉంచుతారు.
తాన జోడ్ ఆంద్.	ఆమె జత.
నావ కోర్వితున్ తాప్డ పాతొర్.	నా చెంపను కొట్టాడు.
నిమ్మె చొకొట్ మాయ్‌నని ఇంజెర్ తాపి కీంతొర్.	నీవు చాలా మంచివాడివి అని బుజ్జగిస్తున్నాడు.
వావ్టె పెన్సిన్ తార్ పాసెర్ మంతొమ్.	చేనులో ఎరువు వైర్ కొట్టుతున్నాము.
బీర్వా తున్ తాలవట్సి ఇర్రన.	బీరువాకు తాళం వేసి ఉంచాలి.
మూరత పాల్ తాలితగ పీరంతెర్.	ఆవు పాలు ముంతలో పితుకుతారు.
సారింగ్ తావితగ వెయుసంతెర్.	రొట్టెలను పెనంమీద కాలుస్తారు.
కుస్రిత్ గంజ్నల్ సుక్కుడె తావంతెర్.	కూరను గిన్నెలో నుండి గంటెతో తీస్తారు.
గంజ్నల్ గాటొ తావంతొర్.	గిన్నెనుండి అన్నం తీస్తున్నాడు.
సారింగ్ తావితగ వెయుసంతెర్.	రొట్టెలను పెనంమీద కాలుస్తారు.
తూరింగ్ తాస్ పియ్సి ఉర్సంతెర్.	తొగర్లు వరుస క్రమంలో నాటుకుంటారు.
నీవ వావ్ట తాస్లి వాట్వల్.	నీ చేనుకు పన్ను వెయ్యడం.
మావ వావుర్ తాస్లితె సీతొమ్.	మా భూమిని కౌలుకిచ్చాము.
సికటితె సొన్నెకె కడ్క్ తికమక ఆంతంగ్.	చీకటిలో వెళ్లేటప్పుడు తికమక అవుతుంటాయి.
పిస్సల్ తిక్కత్ వాసి బండతె పాంతొర్.	పిచ్చివాడు తిక్క రేగితే రాయితో కోడతాడు.
దవ్రల్ హెర్రెత తోల్ తిక్కల్ మందంత.	మేక తోలు తెల్లగా ఉంటుంది.
తిడిగ్యలిర వట్ట సొన్వ.	కోపిష్టుల జోలికి పోవద్దు.
పేకింగ్ తిడింజ్క్‌నగ పాలిస్ సోకంతంగ్.	అమ్మాయిలు గోళ్ళకు రంగు వేసుకుంటారు.
తడకిత్ కరుమ్ తిత్తి మందంత.	కాలేయం దగ్గర తిత్తి ఉంటుంది.
జన్వర్కున్ తిన్వల్ చీజ్క్ వాట్తెకె తింతంగ్.	పశువులకు తినే వస్తువులు వేస్తే అవి తింటాయి.
కాకన రోన్ తిన్వల్ కమ్ర మంత.	చిన్న నాన ఇంట్లో భోజనం చేసే గది ఉంది.
తిన్వల్ పుర్క లహ్క్ లహ్క్ సాదంతంగ్.	తినె సొరకాయలు పొడువుగా ఉంటాయి.
చిట్టి తిన కయ్దె గాటొ తింజెర్ మంత.	చిట్టి కుడి చేత్తొ అన్నము తింటుంది.
మావ రోన్ రామ్క్‌న గుడితున్ తిన కాక్ మంత.	మా ఇల్లు రామాలయానికి కుడి పక్కకు ఉంది.
నావ తినడి కయ్ సెల్లె.	నాకు కూడి చేయి లేదు.
జొన్ననగ డుడ్డుస్ మందవక్ నే తిప్పున్ దొసంతెర్.	జొన్నలో చెత్త ఉండకుండా గొర్రు ఉపయోగిస్తారు.
అమెరికా వాలిరంగ్ తలంగ్ బయ్ తిర్నె మందంతంగ్.	అమెరికా వారి జుట్టు తెల్లగా ఉంటుంది.
కోందనే జొన్న సెన్‌దగా పాతి తిరూసీసి జొన్నంగ్ తెండంతెర్.	ఎడ్లను జొన్న యెన్నుల మీద బంతి కట్టి తింపుతారు.
నిమ్మె ఉట్నూర్ సొంజి తిరిసి వా.	నీవు ఉట్నూర్ వెళ్లి తిరిగి రా.
తిరుడి బాజి కుస్రి అట్సి తింతెర్.	ఈ ఆకుకూర వండుకొని తింటారు.
తిరుని బొమ్మితున్ రొప్పొడల్ పెసియంత.	జెర్రి భూమి లోపల నుండి వెలుతుంది.
ఆడ్వల్ పేడిన్ కాకొ కేరెపండి తిహంత.	ఏడ్చే పిల్లకు అమ్మమ్మ అరటి పండు తినిపిస్తుంది.
తీకె కుసిడగ వాట్తెకె కుస్రి చొకొట్ ఆంత.	తాలింపు వేసేటప్పుడు టప్పుడు ఆవలు వేస్తే కూర రుచిగుంటుంది.
పిర్ వానెకె తీజ్ బిజ్ అర్త.	వర్షం పడెటప్పుడు పిడుగు పడింది.
ఉంది తీర్ సెల్వక్ పిర్ వాసెర్ మంత.	హద్దు లేకుండా వాన వస్తుంది.
చిన్ని జొన్నంగ్ తిర్ప్‌సెర్ మంత.	చిన్నమ్మ జొన్నలు ఎరేస్తుంది.
కడ్క్‌నగ తుక్కుంగ్ అర్వక్ సూడన.	కండ్లలో తుక్కు పడకుండా చూడాలి.
నిమ్మె నాకున్ తుఙన ఇంజెర్ మంత.	నీవు నన్ను పెళ్లి చేసుకోవాలి అని అంటుంది.
ఉంది పేడిన్ తుఙ్వల్ మంత ఇంజెర్ వెహంతొర్.	ఒక అమ్మాయిని చేసుకోవాలని ఉంది అని చెబుతున్నాడు.
వేర్ దడి వాలె తుడ్కల్ ఆందుర్.	ఇతను గడ్డము ఉన్న ముస్లిం.
నన్న యేర్ ఉంజెర్ మన్నెకె నావ గుడ్ఙతగ యేర్ తుత్త.	నేను నీరు త్రాగేటప్పుడు నా గొంతులో నీరు తట్టుకుంది.
నిమ్ చకొట్న కామ్ తుంగ.	నీవు మంచి పని చేసుకో.
బాబనంగ్ పిత్రెంగ్ తుంగ్వల్ మంత.	నాన కర్మ కాండ చేసేది ఉంది.
వడి మిసడి జోర్తె తుపన్ వాసెర్ మంత.	గాలి వాన బలంగా రావడం.
తుపన్ తున్ దాత్ వాయ్వల్ పిర్ బయ్ వాంత.	తుఫాన్ లాంటి రాబోయే వాన బాగా వస్తుంది.
సెవ్వెర్ చొకొట్ తుండ్సి మంత.	బంక మంచిగా అంటుకొని ఉంది.
తుమ్రి మర్రతంగ్ ఆకినె బీడింగ్, చుటంగ్ కీంతెర్.	తునిక ఆకులతో బీడీలు తయారు చేస్తారు.
కోర్దె తయర్ కీసి ఉహ్కవడున్ తుర్ర ఇంతెర్.	కొమ్ముతో తయారు చేసి ఊదే దానిని తుర్ర అంటారు.
యేర్ తుంగ్సి తుల్సి మర్రత రోజీపూజ కీంతెర్.	స్నానం చేసి తులసి మొక్కను రోజు పూజిస్తారు.
తుహ్క తుమ్రిత మత్ కీంతెర్.	చిన్న తునిక ఆకులతో మందు చేస్తారు.
యేతున్ తుహ్తొర్.	నీళ్లు ఒలకబోసాడు.
ఆడ్‌మాడ్సొ ఇవ్విర్ జగ్డంగ్ కీసి తూటెమాతెర్.	ఆలుమగలు ఇద్దరూ గొడవ పడి విడిపోయారు.
పెర్స పేన్దగ తూమ్ తరంతెర్.	పెద్ద దేవునికి పిండప్రదానం తెస్తారు.
పెర్స పేన్దగ తూమ్ సీంతెర్.	పెద్ద దేవునికి పిండప్రదానం చేస్తారు.
బిందె తల్ యేర్ తూర్సెర్ మంత.	బిందె నుండి నీరు ఒలికి పోతుంది.
బోనంగ్ రొహ్క్ వొన్క్ తూస్తెర్.	ఎవరి ఇళ్లను వారు పంచుకున్నారు.
వేర్ వోన్ పాయన్ సాటి తెగ్తొర్.	ఈయన ఆయనను కొట్టడానికి తెగించాడు.
నన్ అద్ దొహ్త నోడెతున్ తెండ్క.	అది కట్టిన దారం ముడి విప్పనా.
తెండ్త నియ్దె పేన్ తుంగంతెర్.	తీసిన నూనెను దేవుని పూజకు వాడుతారు.
వడి వాయన ఇంజెర్ కిట్కింగ్ తెండన.	గాలి రావడం కోసం కిటికీలు తీయాలి.
తెయ్లతె సామన్ తరంతెర్.	సంచితో సరుకులు తెస్తారు.
తాన్ తెర్ ఇద్ చొకొట్ మందంత.	దాని కంటె ఇదే బాగా ఉంటుంది.
వీర్ సమ్దిర్ మర్రత్ పొర్రొ తెర్గ్‌తెర్.	వీరందరూ చెట్టు పై ఎక్కినారు.
మస్తరల్ వాసెర్ మంతొర్ కావడ్ తెర్య.	గురువు వస్తున్నాడు తలుపు తియ్యి.
నావంగ్ రండ్ పల్క్ తెర.	నా రెండు పళ్లు పీకడం.
గుసడ్క్ కయ్క్‌నగ తెర్వి జాడితంగ్ కాయంగ్ దొహంతెర్.	గుసాడిలు చేతులకు ఒక రకమైన గడ్డి కాయలు కట్టుకుంటారు.
సడయి మొరొల్క్ కస్ కస్ తెరంతెర్.	చెనగ మొక్కలను తొందర తొందరగా తీస్తారు.
బాబల్ వాతొర్ ఇంజెర్ కావడ్ తెరితొర్.	తండ్రి వచ్చాడని తలుపులు తెరిచాడు.
బతల్ మంతయొ తెరిసి సూడంతొన్.	ఏమున్నదో తెరిచి చూస్తాను.
ఉంది వెయ్లొ వొరొర్ మాయ్నల్ బయ్ తెరుస్తేర్.	ఒక మగాయన,ఒక ఆడ ఆమె చాలా కొట్లాడుకున్నారు.
మావ నాటె యేతున్ సాటి కుహితగ తెరు సీంతెర్.	మా ఊరిలో నీటి కోసం బావి దగ్గర గొడవ చేస్తారు.
నావ నీవ జగ్డతున్ తెలగొల కీమ్.	మన గొడవను తేల్చాలి.
నిమ్మె పెరెక్ తెహ్చ.	నీవు బియ్యాన్ని చెరుగు.
నరుమ్సెర్ మన్నె బాబల్ వాసి నాక్ తెహ్తొర్.	నిద్రపోతున్నప్పుడు నాన వచ్చి నిద్ర లేపాడు.
తేక కట్టెనె కుర్సింగ్ తయర్ కీంతెర్.	టేకు కట్టెతో కుర్చీలు తయారు చేస్తారు.
తాదొ కుర్చితల్ తెచ్చి రొప్పొ వాతొర్.	తాతయ్య కుర్చీలో నుండి లేచి లోపలికి వచ్చాడు.
వోర్ తేడ సెల్వక్ వెహ్చెర్ మంతొర్.	అతను తేడా లేకుండా చెబుతున్నాడు.
నిమ్మె సక్రెన్ తేదన.	నీవు పొద్దున్నే లేవాలి.
ఇద్ పేడి బయ్ సోబత తేన పొరొల్ బతల్.	.ఈ అమ్మాయి చాలా మంచిది ఈమే పేరు ఏమిటి? .
నన్ తేనె తుంక ఇంజెర్ మంతొన్.	నేను ఈమెనే పెళ్లి చేసుకుంటాను.
కమ్మి వజన్ వాలె యేతగ వాట్తెకె అద్ తేలంత.	తక్కువ బరువు ఉన్న వాటిని నీటిలో వేస్తే అది నీటిలో తేలుతుంది.
వెయ్లొక్ తొక్కుడ్ గిందంగ్ చొకొట్ సుక్కన.	స్త్రీలు ముట్టు గుడ్డలు మంచిగా ఉతకాలి.
కాండిర్ బంతంగ్ దివ్‌స్వల్ కర్సంతెర్ అదెన్ తొక్కుడ్ బండ ఇంతెర్.	పిల్లలు తొక్కుడు బండ ఆట ఆడుకుంటారు.
డగుర్ మాయ్‌నన్ తొడ్ద్ మున్నె వడ్క్‌వ.	పెద్ద వ్యక్తి ముందర ఎదురు బదురుగా ఉండి మాట్లాడకూడదు.
తొత్ వేస్ ఇన్కె బతయ్ మజ సెల్లె.	పూర్వపు వలే ఏమి ఆనందం లేదు.
మావ రోన్ తొత్త బాసన్ మంత.	మా ఇంట్లో పురాతన వస్తువులు ఉన్నాయి.
తొత్తంగ్ గొస్టింగ్ కరెమాతుర్ వూర్ వడ్కంతెర్.	పూర్వపు పదాలు తెలిసినవారు మాట్లాడుకుంటారు.
తొత్తొర్ వెడిల్‌తున్ వెల్లె కరెమాసి మందంతంగ్.	పూర్వపు ముసలివాడికి చాలా తెలిసి ఉంటాయి.
చొకొట్ వడ్క వాయొర్ వోన్ తొంద్డె ఇంతెర్.	సరిగా మాట్లాడలేని వాన్ని నత్తోడు అంటారు.
తొల్లె తుర్ మొడి అక్సర్ తె సాడ కరితెర్.	పూర్వ కాలంలో మోడిలిపిత అక్షరాలు చదువుకున్నారు.
తొల్లె గడెమాసి మత్త బతి ఇన్కె గడెమాయొ.	పూర్వము నిజమైంది కాని ఇప్పుడు నిజం కాలేదు.
ఉట్నూర్ నాక్ తొహ.	ఉట్నూరు నాకు చూపించు.
పెట్టి నోతెకె డాక్టరన్ తొహన.	కడుపు నొస్తె డాక్టర్కు చూయించుకోవాలి.
మరట్ కీత కామున్ ఆపిసర్కున్ తొహన.	మనము చేసిన పనిని అధికారులకు చూపెట్టాలి.
గడ్డిత తోకొర్ బయ్ లామ్ మందంత.	కొండెంగ తోక చాలా పొడవుగా ఉంటుంది.
తోకొర్ సుక్కుం ఆబడగ మందంత.	తోక చుక్క ఆకాశంలో ఉంటుంది.
చెహర్క్ నగ బయ్ సోబతంగ్ పుఙర్ తోటంగ్ మందంతంగ్.	పట్టణాలలో పూల ఉద్యానవనాలు ఉంటాయి.
కాండి బిందెత యేతున్ తోడ్గ్‌సెర్ మంతొర్.	పిల్లవాడు బిందె నీటిని తోడెస్తున్నాడు.
యేర్ నిల్నెన్ తోడి కట్ట వాటంతెర్.	నీరు ఆగటానికి మట్టి కట్ట వేస్తారు.
తోడినియ్ బొమ్మితల్ తెండంతెర్.	మట్టి నూనె భూమి నుండి తీస్తారు.
నన్న నీతోడొ వాయొన్.	నేను నీతో పాటు రావడము లేదు.
నాకున్ తోడొస కుస్రి సీమ్ ఇంజెర్ ఇంతెర్.	నాకు కొద్దిగా కూర పెట్టండి అని అంటారు.
చొకొట్ వడ్క వాయోర్ వోన్ తోతె ఇంజెర్ ఇంతెర్.	సరిగా మాట్లాడలేని వాన్ని నత్తోడు అంటారు.
తీండితున్ సాటి జగ్డంగ్ కియ్యె తొయ్లె.	తిండి కోసం గొడవ చేసేవాడు తిండిపోతు.
ఉచ్చి ఉచ్చి కాల్క్ తొయంతంగ్.	కూర్చొని కూర్చొని కాళ్లు ఉబ్బుతాయి.
బుడ్డితల్ యేర్ తోర్సి ఉంటొర్.	కుండలో నుండి నీరు తీసి తాగుతున్నాడు.
తోల పుడి ఆతెకె మేందొల్ బయ్ దదుల్క్ వాంత.	ఈ చర్మ వ్యాది వస్తే దేహమంతా పొక్కులు వస్తాయి.
వెరితెకె జీవ దకదక ఆంత.	భయం కలిగితె గుండె దడదడ కొడుకుంటుంది.
పేడిన్ డువల్ వోనెకె వరొర్ కాండి పేడిన్ దక్కుసీతొర్.	ఆడ పిల్లను పులి తీసుకెళుతుంటే ఒక పిల్లవాడు ఆమెను కాపాడాడు.
పొలిస్క్ వాతెర్ ఇంజెర్ ఇత్తెకె నావ జీవ బయ్ దక్నె ఆత.	పోలీసులు వచ్చారు అంటె నేను చాలా కలత చెందాను.
నిన్నెత గాటొ సమ్దిర్ తిన్నెకె గిర్ దక్త.	నిన్నటి అన్నము అందరూ తిన్న కూడ మిగిలిపోయింది.
నీ దగట్న పేడి సూడ్సి వాతొన్.	నీకు తగిన అమ్మాయిని చూసి వచ్చాను.
మస్తొరె కాండిర్కున్ దడ వెహ్త.	ఉపాధ్యాయురాలు పిల్లలకు పాఠము చెప్పింది.
దడస్క యేతున్ రొప్పొ మందంత.	జలగ నీటి లోపల ఉంటుంది.
మాయ్‌నన తడకి దడ్కెమాసెర్ మందంత.	వ్యక్తి గుండె నిత్యం కొట్టుకుంటూ ఉంటుంది.
మీన్క్ పియ్సి దడ్డితెకె వాటంతెర్.	చేపలు పట్టి ఒడ్డున వేస్తారు.
వేడ్చిత్ కాక్ మున్నె కీసి నిల్తెకె పజ్జె దడ్మి అరంత.	కాంతి వైపు నిలబడితే వెనకాల నీడ పడుతుంది. . .
యేద్దితెర్నెకె జర్రసి దడుఙంత.	ఎండ కొట్టేటప్పుడు కొద్ది నీడతో మబ్బుగా అవుతుంది.
నుల్లెంగ్ కస్క్‌తెకె మేందొల్ బయ్ దదుల్క్ వాంత.	దోమలు కుడితే దేహమంతా పొక్కులు వస్తాయి.
నహ్గ దన్ లెక్క సెల్వక్ మంత.	నా దగ్గర ధనం లెక్క లేనంత ఉంది.
మావ దంద మరట్ కియన.	మన పని మనం చేయాలి.
నాకున్ వెల్లె దన్ దవ్లత్ మంత.	నాకు బాగా సంపద ఉంది.
గీతల్ మర్రతల్ అర్తతె కయ్దున్ దన్కలాగ్త.	గీత చెట్టు మీద నుండి పడిపోయింది అయితే చేతికి దెబ్బ తగిలింది.
ఇవ్ వంజింగ్ దంచ్ తంగ్ ఆందుంగ్.	ఇవి దంచిన వడ్లు.
రాజల్ బయ్ దనెవంతల్.	రాజు సంపన్నుడు.
వడ్క వాయొర్ వోర్ దబ్ ఉచ్చి మందంతొర్.	మాట్లాడ రాని వాడు గమ్ముగా కూర్చొని ఉంటాడు.
అడ్వల్ కాండిన్ దబ్ కీమ్ ఇంతెర్.	ఏడిచే బాబును బుజ్జగిస్తారు.
జులుక్ నిమ్మె దమ్ ఆపుస.	కొద్దిగా నీవు ఊపిరి ఆపు.
విచ్చి విచ్చి కున్ బయ్ దమ్ వాత.	పరిగెత్తి పరిగెత్తి దమ్ము వచ్చింది.
బాబల్ కాండిన్ దమ్కి కీంతొర్.	తండ్రి కొడుకును హెచ్చరిస్తారు.
మేడి కుట్టతగ దండెడ దొహంతెర్.	కల్లం గుంజకు నారు దండ కడతారు.
నావ రెండ్ కయ్క్ న దండొస్.	నా రెండు చేతులతో దండం.
పేన్ది మా పొర్రొ దయ ఇర్ర.	దేవుడా మా మీద దయ ఉంచు.
నాకున్ గిర్ వెల్లె పెరెక్ సియన ఇంజెర్దయ వోటి కీసెర్ మంతొర్.	నాకు కూడ ఎక్కువ బియ్యం ఇవ్వాలని బతిమి లాడుతున్నాడు.
దయకీసి నాకున్ మాప్‌ కీమ్.	దయ చేసి నన్ను మన్నించు.
నీవ దయ్వతె బహన్ మత్త అహన్ ఆత.	నీ అదృష్టంలో ఏలా ఉందో అలా అయింది.
ఉంది రగ్గల్ పొంటిన్ దర బచ్చొర్ మంత.	ఒక ఎర్రని కలము విలువ ఎంత ఉంది.
కొత్తంగ్ దరదుర కర్చి కియ్వ.	నీ ఇష్టం వచ్చినట్టు దు బారా ఖర్చు చేయకు.
నావ కామున్ సాటి దర్కస్ సియ్వల్ మంత.	నా పని కోసం ఫిర్యాదు చేయాల్సి ఉంది.
మరట్ సమ్దిర్ పిస్సన ఇత్తెకె దర్తిరి పహెజ్లె మందంత.	మనము అందరము జీవించాలంటే మనకు భూమి అవసరం ఉంటుంది.
