Gondi_Sentence	Telugu_Sentence
కప్డింగ్ కొటంతోర్ వోన్ సీపి ఇంతేర్	బట్టలు కుట్టె వారిని దర్జి అంటారు
కాండిర్- పేకింగ్ ఊర సాడత్ సియేర్ మంతేర్	అబ్బాయిలు, అమ్మయిలు వారి యొక్క బడిని ఊడుస్తున్నారు
మరకనంగ్ సీర్క్ బొమ్మిత్ బూడ్ దాంతంగ్	చెట్టు వేర్లు భూమిలోపలికి వెళ్ళుతాయి
పుర్కి సీర్ తల్లదగ మందంతంగ్	పేలు తలలో ఉంటాయి
కాస్త కుస్రి సుక్కూడె తావంతేర్	వేడి కూరను తెడ్డుతో తీస్తారు
పెర్సా పేన్దగ సుజారాంగ్(హెర్రేంగ్ ఆయి, హెర్మింగ్ ఆయి) పాంతేర్	పెద్ద దేవుని దగ్గర జంతు బల్లలు ఇస్తారు
సుర్వేంగ్ పుత్తిన్‌గ, మర్రక్‌నంగ్ డోబ్రన్‌గ దొసంతంగ్	తేనే పుట్టలలో, చెట్ల తొర్రలలో పెట్టుతుంది
సులూడీ క్రిష్ణన కెయ్దే మందంత	పిల్లలన గ్రోవి కృష్ణుణి చేతిలో ఉంటుంది
వీర్ పూటుంగ్ సూడ్సేర్ మంతేర్	వీరు ఫోటోలు చూస్తూన్నారు
వాట్ట జాడి యెహన్ సాటి సెటేడ్ కాం సీంత	చేనులోని గడ్డి కోయుటకు కొడవలి పని చేస్తుంది
జొన్న సెన్ మియంత	జొన్న చేను పంటతో కళకల లాడుతుంది
యెద్ది గాలుం కాల్క్ వేంతంగ్ ఇంజేర్ సెర్పూంక్ కెరంతేర్	వేసవిలో కాళ్ళు కాలుతాయి అని చెప్పులు తొడుగుతారు
సెర్కా మర్రతగ బయ్ సెవ్వేర్ పెసియంత	బంక చెట్టుకు చాల బంక వెళ్ళుతుంది
సేతితే పెరేక్ తెహ్చంతంగ్	చాట తో బియ్యము చెరుగుతారు
సేరీ తరాస్ మయన్ సూడ్తేకే బయ్ సొడియంత	జెర్రిపోతు పాము మనుషులను చూస్తే పరుగులు తీస్తుంది
బాయిక్ సేవ్యంగ్ కీసేర్ మంతంగ్	స్త్రీ, సేమియాలు చేస్తున్నారు
ముద్దంగ్, చయిస్క్, పుస్తెంగ్, కీంతోర్ వోన్ సొనారాల్ ఇంతేర్	మట్టెలు, గోలుసులు, చేసే వారిని ఔసాలోడు అంటారు
అద్ సాడతే సొంజేర్మంత	ఆమె బడికి వెళ్ళుచున్నది
సోంచీతాల్ కేడతె మందంత	చిరుత పులి అడవిలో ఉంటుంది
జాగ్గి సొన్నెకే సోటా పియ్సి దాంతేర్	చేను కావలి వెళ్ళెవారు దుడ్డు కర్ర పట్టే వెళ్ళుతారు
నాక్ సోప్తి నిమ్మె అగయెన్నల్ వా	నాకు అందక తోడుగ వస్తావా
మల్ బయ్ సోబాతా మంత	నెమలి చాల అందంగా ఉంది
నిన్నే సెల్లే హనట్- నేటి సార్ వాసి	నిన్న కాక మొన్న ఆచార్యుడు వచ్చి ఉండెను
హిరుక్ మర్రా హిరుక్ అర్సి మర్ల ఘరంగ్ సాదంత	ఇప్ప చెట్టు ఇప్పపూలు తరావాత ఇప్పకాయాలు కాస్తుంది
కోళ్ల వాతెకే హిరోడా కాయన తోల్ తింతేర్	దగ్గు అయితే కరక్కాయ కాయ తోలు తింటారు
యెద్ది గాలుం యేతగ మీడ్సి హెర్మింగ్ మందంతంగ్	వేసవి కాలంలో నీటిలో బర్రెలు పడుకుంటాయి
